id,value
UK Food Trends.Milk and milk products excluding cheese.-.-.-,
UK Food Trends.Milk and milk products excluding cheese.Liquid wholemilk including school and welfare.-.-,
UK Food Trends.Milk and milk products excluding cheese.Liquid wholemilk including school and welfare.School milk (d).-,
UK Food Trends.Milk and milk products excluding cheese.Liquid wholemilk including school and welfare.Welfare milk (i).-,17
UK Food Trends.Milk and milk products excluding cheese.Liquid wholemilk including school and welfare.Liquid wholemilk full price.-,15
UK Food Trends.Milk and milk products excluding cheese.Liquid wholemilk including school and welfare.Liquid wholemilk full price.UHT milk,2655
UK Food Trends.Milk and milk products excluding cheese.Liquid wholemilk including school and welfare.Liquid wholemilk full price.Sterilised,27
UK Food Trends.Milk and milk products excluding cheese.Liquid wholemilk including school and welfare.Liquid wholemilk full price.Pasteurised/ homogenised,133
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.-.-,2496
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Skimmed milks.-,
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Skimmed milks.Fully skimmed milk,5
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Skimmed milks.Semi-skimmed milk,2
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Condensed or evaporated milk.-,3
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Infant milks.-,147
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Infant milks.Infant or baby milks - ready to drink,37
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Infant milks.Infant or baby milks - dried,4
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Instant dried milk.-,33
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Yoghurt and fromage frais.-,53
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Yoghurt and fromage frais.Yoghurt,33
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Yoghurt and fromage frais.Fromage frais,33
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Other milks and dairy desserts.-,0
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Other milks and dairy desserts.Dairy desserts - not frozen,1
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Other milks and dairy desserts.Dried milk products,1
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Other milks and dairy desserts.Milk drinks and other milks (e),0
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Other milks and dairy desserts.Non-dairy milk substitutes (e),0
UK Food Trends.Milk and milk products excluding cheese.Other milk and cream.Cream.-,0
UK Food Trends.Cheese.-.-.-,15
UK Food Trends.Cheese.Natural cheese.-.-,
UK Food Trends.Cheese.Natural cheese.Hard cheese - cheddar type.-,
UK Food Trends.Cheese.Natural cheese.Hard cheese - other uk or foreign equivalent.-,
UK Food Trends.Cheese.Natural cheese.Hard cheese - edam or other foreign.-,
UK Food Trends.Cheese.Natural cheese.Cottage cheese.-,
UK Food Trends.Cheese.Natural cheese.Soft natural cheese.-,
UK Food Trends.Cheese.Processed cheese.-.-,
UK Food Trends.Carcase meat.-.-.-,
UK Food Trends.Carcase meat.Beef and veal.-.-,
UK Food Trends.Carcase meat.Beef and veal.Beef joints - on the bone.-,
UK Food Trends.Carcase meat.Beef and veal.Beef joints - boned.-,
UK Food Trends.Carcase meat.Beef and veal.Beef steak - less expensive.-,
UK Food Trends.Carcase meat.Beef and veal.Beef steak - more expensive.-,
UK Food Trends.Carcase meat.Beef and veal.Minced beef.-,
UK Food Trends.Carcase meat.Beef and veal.All other beef and veal.-,
UK Food Trends.Carcase meat.Mutton and lamb.-.-,
UK Food Trends.Carcase meat.Mutton and lamb.Mutton.-,
UK Food Trends.Carcase meat.Mutton and lamb.Lamb joints.-,
UK Food Trends.Carcase meat.Mutton and lamb.Lamb chops.-,
UK Food Trends.Carcase meat.Mutton and lamb.All other lamb.-,
UK Food Trends.Carcase meat.Pork.-.-,
UK Food Trends.Carcase meat.Pork.Pork joints.-,
UK Food Trends.Carcase meat.Pork.Pork chops.-,
UK Food Trends.Carcase meat.Pork.Pork fillets and steaks.-,
UK Food Trends.Carcase meat.Pork.All other pork.-,
UK Food Trends.Non-carcase meat and meat products.-.-.-,
UK Food Trends.Non-carcase meat and meat products.Liver.-.-,
UK Food Trends.Non-carcase meat and meat products.Liver.Ox liver.-,
UK Food Trends.Non-carcase meat and meat products.Liver.Lambs liver.-,
UK Food Trends.Non-carcase meat and meat products.Liver.Pigs liver.-,
UK Food Trends.Non-carcase meat and meat products.Liver.All other liver.-,
