id,value
UK Food Trends,
UK Food Trends.test,2978
UK Food Trends.test.Liquid wholemilk including school and welfare,2687
UK Food Trends.test.Liquid wholemilk including school and welfare.School milk (d),17
UK Food Trends.test.Liquid wholemilk including school and welfare.Welfare milk (i),15
UK Food Trends.test.Liquid wholemilk including school and welfare.Liquid wholemilk full price,2655
UK Food Trends.test.Liquid wholemilk including school and welfare.Liquid wholemilk full price.UHT milk,27
UK Food Trends.test.Liquid wholemilk including school and welfare.Liquid wholemilk full price.Sterilised,133
UK Food Trends.test.Liquid wholemilk including school and welfare.Liquid wholemilk full price.Pasteurised/ homogenised,2496
UK Food Trends.test.Other milk and cream,291
UK Food Trends.test.Other milk and cream.Skimmed milks,5
UK Food Trends.test.Other milk and cream.Skimmed milks.Fully skimmed milk,2
UK Food Trends.test.Other milk and cream.Skimmed milks.Semi skimmed milk,3
UK Food Trends.test.Other milk and cream.Condensed or evaporated milk,147
UK Food Trends.test.Other milk and cream.Infant milks,37
UK Food Trends.test.Other milk and cream.Infant milks.Infant or baby milks   ready to drink,4
UK Food Trends.test.Other milk and cream.Infant milks.Infant or baby milks   dried,33
UK Food Trends.test.Other milk and cream.Instant dried milk,53
UK Food Trends.test.Other milk and cream.Yoghurt and fromage frais,33
UK Food Trends.test.Other milk and cream.Yoghurt and fromage frais.Yoghurt,33
UK Food Trends.test.Other milk and cream.Yoghurt and fromage frais.Fromage frais,0
UK Food Trends.test.Other milk and cream.Other milks and dairy desserts,1
UK Food Trends.test.Other milk and cream.Other milks and dairy desserts.Dairy desserts   not frozen,1
UK Food Trends.test.Other milk and cream.Other milks and dairy desserts.Dried milk products,0
UK Food Trends.test.Other milk and cream.Other milks and dairy desserts.Milk drinks and other milks (e),0
UK Food Trends.test.Other milk and cream.Other milks and dairy desserts.Non dairy milk substitutes (e),0
UK Food Trends.test.Other milk and cream.Cream,15
UK Food Trends.Cheese,105
UK Food Trends.Cheese.Natural cheese,97
UK Food Trends.Cheese.Natural cheese.Hard cheese   cheddar type,67
UK Food Trends.Cheese.Natural cheese.Hard cheese   other uk or foreign equivalent,20
UK Food Trends.Cheese.Natural cheese.Hard cheese   edam or other foreign,5
UK Food Trends.Cheese.Natural cheese.Cottage cheese,2
UK Food Trends.Cheese.Natural cheese.Soft natural cheese,2
UK Food Trends.Cheese.Processed cheese,8
UK Food Trends.Carcase meat,393
UK Food Trends.Carcase meat.Beef and veal,189
UK Food Trends.Carcase meat.Beef and veal.Beef joints   on the bone,10
UK Food Trends.Carcase meat.Beef and veal.Beef joints   boned,62
UK Food Trends.Carcase meat.Beef and veal.Beef steak   less expensive,42
UK Food Trends.Carcase meat.Beef and veal.Beef steak   more expensive,35
UK Food Trends.Carcase meat.Beef and veal.Minced beef,37
UK Food Trends.Carcase meat.Beef and veal.All other beef and veal,3
UK Food Trends.Carcase meat.Mutton and lamb,113
UK Food Trends.Carcase meat.Mutton and lamb.Mutton,4
UK Food Trends.Carcase meat.Mutton and lamb.Lamb joints,61
UK Food Trends.Carcase meat.Mutton and lamb.Lamb chops,37
UK Food Trends.Carcase meat.Mutton and lamb.All other lamb,11
UK Food Trends.Carcase meat.Pork,91
UK Food Trends.Carcase meat.Pork.Pork joints,43
UK Food Trends.Carcase meat.Pork.Pork chops,32
UK Food Trends.Carcase meat.Pork.Pork fillets and steaks,5
UK Food Trends.Carcase meat.Pork.All other pork,11
UK Food Trends.Non carcase meat and meat products,630
UK Food Trends.Non carcase meat and meat products.Liver,36
UK Food Trends.Non carcase meat and meat products.Liver.Ox liver,6
UK Food Trends.Non carcase meat and meat products.Liver.Lambs liver,20
UK Food Trends.Non carcase meat and meat products.Liver.Pigs liver,9
UK Food Trends.Non carcase meat and meat products.Liver.All other liver,1
UK Food Trends.Non carcase meat and meat products.All offal other than liver,15
UK Food Trends.Non carcase meat and meat products.Bacon and ham uncooked,116
UK Food Trends.Non carcase meat and meat products.Bacon and ham uncooked.Bacon and ham joints uncooked,27
UK Food Trends.Non carcase meat and meat products.Bacon and ham uncooked.Bacon and ham rashers uncooked,89
UK Food Trends.Non carcase meat and meat products.Bacon and ham cooked,25
UK Food Trends.Non carcase meat and meat products.Cooked poultry not purchased in cans,5
UK Food Trends.Non carcase meat and meat products.Cooked poultry not purchased in cans.Chicken and turkey cooked,5
UK Food Trends.Non carcase meat and meat products.Cooked poultry not purchased in cans.Takeaway chicken,1
UK Food Trends.Non carcase meat and meat products.Corned beef canned or sliced,12
UK Food Trends.Non carcase meat and meat products.Other cooked meat,16
UK Food Trends.Non carcase meat and meat products.Other canned meat and canned meat products,48
UK Food Trends.Non carcase meat and meat products.Chicken uncooked   whole chicken or chicken pieces,115
UK Food Trends.Non carcase meat and meat products.Other poultry uncooked (including frozen),12
UK Food Trends.Non carcase meat and meat products.Other poultry uncooked (including frozen).Turkey uncooked   whole turkey or turkey pieces,11
UK Food Trends.Non carcase meat and meat products.Other poultry uncooked (including frozen).Poultry other than chicken or turkey uncooked,1
UK Food Trends.Non carcase meat and meat products.Other fresh chilled and frozen meat,3
UK Food Trends.Non carcase meat and meat products.Sausages uncooked   pork,59
UK Food Trends.Non carcase meat and meat products.Sausages uncooked   beef and other sausages,48
UK Food Trends.Non carcase meat and meat products.Meat pies and sausage rolls ready to eat,21
UK Food Trends.Non carcase meat and meat products.Meat pies and sausage rolls ready to eat.Meat pies ready to eat,16
UK Food Trends.Non carcase meat and meat products.Meat pies and sausage rolls ready to eat.Sausage rolls ready to eat,5
UK Food Trends.Non carcase meat and meat products.Meat pies pasties and puddings frozen or not frozen,27
UK Food Trends.Non carcase meat and meat products.Burgers frozen or not frozen,11
UK Food Trends.Non carcase meat and meat products.Ready meals and convenience meat products,27
UK Food Trends.Non carcase meat and meat products.Ready meals and convenience meat products.Complete meat based ready meals frozen or not frozen,5
UK Food Trends.Non carcase meat and meat products.Ready meals and convenience meat products.Other convenience meat products frozen or not frozen,22
UK Food Trends.Non carcase meat and meat products.Pate and delicatessen type sausage,6
UK Food Trends.Non carcase meat and meat products.Pate and delicatessen type sausage.Pate,0
UK Food Trends.Non carcase meat and meat products.Pate and delicatessen type sausage.Delicatessen type sausages,6
UK Food Trends.Non carcase meat and meat products.Meat pastes and spreads,10
UK Food Trends.Non carcase meat and meat products.Takeaway meats,16
UK Food Trends.Non carcase meat and meat products.Takeaway meats.Takeaway meat pies and pasties,2
UK Food Trends.Non carcase meat and meat products.Takeaway meats.Takeaway burger and bun,1
UK Food Trends.Non carcase meat and meat products.Takeaway meats.Takeaway kebabs,2
UK Food Trends.Non carcase meat and meat products.Takeaway meats.Takeaway sausages and saveloys,0
UK Food Trends.Non carcase meat and meat products.Takeaway meats.Takeaway meat based meals,11
UK Food Trends.Non carcase meat and meat products.Takeaway meats.Takeaway miscellaneous meats,0
UK Food Trends.Fish,123
UK Food Trends.Fish.White fish fresh chilled or frozen,44
UK Food Trends.Fish.White fish fresh chilled or frozen.White fish fresh or chilled,35
UK Food Trends.Fish.White fish fresh chilled or frozen.White fish frozen,8
UK Food Trends.Fish.Herrings and other blue fish fresh chilled or frozen,3
UK Food Trends.Fish.Herrings and other blue fish fresh chilled or frozen.Herrings and other blue fish fresh or chilled,3
UK Food Trends.Fish.Herrings and other blue fish fresh chilled or frozen.Herrings and other blue fish frozen,0
UK Food Trends.Fish.Salmon fresh chilled or frozen,2
UK Food Trends.Fish.Salmon fresh chilled or frozen.Salmon fresh or chilled,2
UK Food Trends.Fish.Salmon fresh chilled or frozen.Salmon frozen,0
UK Food Trends.Fish.Blue fish dried or salted or smoked,6
UK Food Trends.Fish.White fish dried salted or smoked,5
UK Food Trends.Fish.Shellfish,2
UK Food Trends.Fish.Shellfish.Shellfish fresh or chilled,1
UK Food Trends.Fish.Shellfish.Shellfish frozen,1
UK Food Trends.Fish.Takeaway fish,20
UK Food Trends.Fish.Salmon tinned,6
UK Food Trends.Fish.Other tinned or bottled fish,12
UK Food Trends.Fish.Ready meals and other fish products   frozen or not frozen,23
UK Food Trends.Fish.Takeaway fish meals and fish products,2
UK Food Trends.Fish.Takeaway fish meals and fish products.Takeaway fish products,0
UK Food Trends.Fish.Takeaway fish meals and fish products.Takeaway fish based meals,2
UK Food Trends.Eggs,4
UK Food Trends.Fats,316
UK Food Trends.Fats.Butter,147
UK Food Trends.Fats.Margarine,78
UK Food Trends.Fats.Margarine.Soft margarine,37
UK Food Trends.Fats.Margarine.Other margarine,42
UK Food Trends.Fats.Lard cooking fat,58
UK Food Trends.Fats.Vegetable and salad oils,22
UK Food Trends.Fats.Vegetable and salad oils.Olive oil,4
UK Food Trends.Fats.Vegetable and salad oils.Other vegetable and salad oils,18
UK Food Trends.Fats.All other fats,10
UK Food Trends.Fats.All other fats.Reduced fat spreads,0
UK Food Trends.Fats.All other fats.Low fat spreads,1
UK Food Trends.Fats.All other fats.Suet and dripping,7
UK Food Trends.Fats.All other fats.Imitatation cream,2
